"rent, rub/month",full_address,city,"price_per_sqm, rub/month","square, m^2",type,url
66500,Народного фронта,Екатеринбург,1000,66,Универсальное помещение,https://ekaterinburg.n1.ru/view/111967089/?open_card_kn
224500,Гагарина,Екатеринбург,1000,224,Универсальное помещение,https://ekaterinburg.n1.ru/view/114861999/?open_card_kn
1375000000,Уральская,Екатеринбург,1000000,1375,Универсальное помещение,https://ekaterinburg.n1.ru/view/114136258/?open_card_kn
350000,Солнечный переулок,Екатеринбург,1000,350,Универсальное помещение,https://ekaterinburg.n1.ru/view/115887680/?open_card_kn
90000,Брусницына,Екатеринбург,900,100,Универсальное помещение,https://ekaterinburg.n1.ru/view/114135664/?open_card_kn
12000,Белинского,Екатеринбург,171,70,Универсальное помещение,https://ekaterinburg.n1.ru/view/113008559/?open_card_kn
259029,Монтерская,Екатеринбург,1700,152,Универсальное помещение,https://ekaterinburg.n1.ru/view/115882285/?open_card_kn
78900,Космонавтов проспект,Екатеринбург,1834,43,Универсальное помещение,https://ekaterinburg.n1.ru/view/115879785/?open_card_kn
99120,Сибирский тракт,Екатеринбург,3500,28,Универсальное помещение,https://ekaterinburg.n1.ru/view/115879655/?open_card_kn
199480,Сибирский тракт,Екатеринбург,2000,99,Универсальное помещение,https://ekaterinburg.n1.ru/view/115879654/?open_card_kn
206725,Сибирский тракт,Екатеринбург,2500,82,Универсальное помещение,https://ekaterinburg.n1.ru/view/115879656/?open_card_kn
556860,Фронтовых бригад,Екатеринбург,600,928,Универсальное помещение,https://ekaterinburg.n1.ru/view/115879347/?open_card_kn
58500,Николая Кичигина,Екатеринбург,1300,45,Универсальное помещение,https://ekaterinburg.n1.ru/view/115878011/?open_card_kn
262500,Ленина,Екатеринбург,700,375,Универсальное помещение,https://ekaterinburg.n1.ru/view/108897839/?open_card_kn
100000,Добролюбова,Екатеринбург,1666,60,Универсальное помещение,https://ekaterinburg.n1.ru/view/115876607/?open_card_kn
50000,Московская,Екатеринбург,833,60,Универсальное помещение,https://ekaterinburg.n1.ru/view/115876561/?open_card_kn
118000,Инженерная,Екатеринбург,1000,118,Универсальное помещение,https://ekaterinburg.n1.ru/view/115876309/?open_card_kn
45000,Блюхера,Екатеринбург,576,78,Универсальное помещение,https://ekaterinburg.n1.ru/view/115875503/?open_card_kn
