"rent, rub/month",full_address,city,"price_per_sqm, rub/month","square, m^2",type,url
55000,"Красный проспект, 59",Новосибирск,799,68,Универсальное помещение,https://novosibirsk.n1.ru/view/115933467/?open_card_kn
740000,"улица Бориса Богаткова, 191",Новосибирск,986,750,Универсальное помещение,https://novosibirsk.n1.ru/view/115933468/?open_card_kn
112500,"улица Дуси Ковальчук, 1",Новосибирск,450,250,Универсальное помещение,https://novosibirsk.n1.ru/view/115933453/?open_card_kn
970000,"улица Большевистская, 131",Новосибирск,400,2424,Универсальное помещение,https://novosibirsk.n1.ru/view/115933455/?open_card_kn
110000,"улица Петухова, 17",Новосибирск,275,400,Универсальное помещение,https://novosibirsk.n1.ru/view/115933457/?open_card_kn
480000,"улица Большевистская, 131",Новосибирск,400,1200,Универсальное помещение,https://novosibirsk.n1.ru/view/115933452/?open_card_kn
126600,"улица Спартака, 12",Новосибирск,1205,105,Универсальное помещение,https://novosibirsk.n1.ru/view/115933379/?open_card_kn
924500,"Карла Маркса площадь, 5",Новосибирск,6951,133,Универсальное помещение,https://novosibirsk.n1.ru/view/115933380/?open_card_kn
1260000,"улица Октябрьская, 49",Новосибирск,2500,504,Универсальное помещение,https://novosibirsk.n1.ru/view/115597444/?open_card_kn
576000,"улица Октябрьская, 49",Новосибирск,4500,128,Универсальное помещение,https://novosibirsk.n1.ru/view/115597443/?open_card_kn
51520,"улица Фадеева, 66",Новосибирск,700,73,Универсальное помещение,https://novosibirsk.n1.ru/view/108481155/?open_card_kn
45000,"улица Тюменская, 8",Новосибирск,584,77,Универсальное помещение,https://novosibirsk.n1.ru/view/113463123/?open_card_kn
75900,"улица Гаранина, 33",Новосибирск,1500,50,Универсальное помещение,https://novosibirsk.n1.ru/view/115933029/?open_card_kn
89600,"улица Челюскинцев, 48",Новосибирск,800,112,Универсальное помещение,https://novosibirsk.n1.ru/view/113803803/?open_card_kn
3420000,"улица Октябрьская, 49",Новосибирск,5000,684,Универсальное помещение,https://novosibirsk.n1.ru/view/115597199/?open_card_kn
5922000,"улица Октябрьская, 49",Новосибирск,4500,1316,Универсальное помещение,https://novosibirsk.n1.ru/view/115597198/?open_card_kn
700000,"улица Партизанская, 192",Новосибирск,892,784,Универсальное помещение,https://novosibirsk.n1.ru/view/115594261/?open_card_kn
86400,"улица Ядринцевская, 71",Новосибирск,600,144,Универсальное помещение,https://novosibirsk.n1.ru/view/115594252/?open_card_kn
5000,"улица Героев Революции, 72",Новосибирск,1666,3,Универсальное помещение,https://novosibirsk.n1.ru/view/115591646/?open_card_kn
53000,"улица Блюхера, 7",Новосибирск,1514,35,Универсальное помещение,https://novosibirsk.n1.ru/view/115591645/?open_card_kn
5000,"улица 25 лет Октября, 15",Новосибирск,1666,3,Универсальное помещение,https://novosibirsk.n1.ru/view/115591644/?open_card_kn
104300,"улица Софийская, 12",Новосибирск,700,149,Универсальное помещение,https://novosibirsk.n1.ru/view/112647228/?open_card_kn
39360,"Красный проспект, 220",Новосибирск,1200,32,Универсальное помещение,https://novosibirsk.n1.ru/view/111174362/?open_card_kn
50000,"улица Твардовского, 22",Новосибирск,1184,42,Универсальное помещение,https://novosibirsk.n1.ru/view/114890397/?open_card_kn
1777800,"улица Жуковского, 96",Новосибирск,600,2963,Универсальное помещение,https://novosibirsk.n1.ru/view/113070804/?open_card_kn
5500,"улица Тульская, 80",Новосибирск,932,5,Универсальное помещение,https://novosibirsk.n1.ru/view/115588935/?open_card_kn
110000,"улица Большевистская, 94",Новосибирск,2131,51,Универсальное помещение,https://novosibirsk.n1.ru/view/115588535/?open_card_kn
350000,"Горский микрорайон, 51",Новосибирск,1162,301,Универсальное помещение,https://novosibirsk.n1.ru/view/112646846/?open_card_kn
37765,"улица Приграничная, 1",Новосибирск,650,58,Универсальное помещение,https://novosibirsk.n1.ru/view/115588022/?open_card_kn
9000,"улица Приграничная, 1",Новосибирск,300,30,Универсальное помещение,https://novosibirsk.n1.ru/view/115588024/?open_card_kn
5000,"улица Приграничная, 1",Новосибирск,370,13,Универсальное помещение,https://novosibirsk.n1.ru/view/115588023/?open_card_kn
276000,"Красный проспект, 99",Новосибирск,2400,115,Универсальное помещение,https://novosibirsk.n1.ru/view/115587347/?open_card_kn
166000,"проспект Владимира Заровного, 24",Новосибирск,2000,83,Универсальное помещение,https://novosibirsk.n1.ru/view/114887834/?open_card_kn
200000,"улица Фрунзе, 80",Новосибирск,915,218,Универсальное помещение,https://novosibirsk.n1.ru/view/113802376/?open_card_kn
60000,"улица Петухова, 99",Новосибирск,1714,35,Универсальное помещение,https://novosibirsk.n1.ru/view/113802375/?open_card_kn
45090,"улица Василия Клевцова, 1",Новосибирск,1350,33,Универсальное помещение,https://novosibirsk.n1.ru/view/113801514/?open_card_kn
715560,"улица Кропоткина, 116а",Новосибирск,1200,596,Универсальное помещение,https://novosibirsk.n1.ru/view/113069485/?open_card_kn
90000,"улица Александра Невского, 43",Новосибирск,857,105,Универсальное помещение,https://novosibirsk.n1.ru/view/112263104/?open_card_kn
100000,"улица Вилюйская, 3",Новосибирск,781,128,Универсальное помещение,https://novosibirsk.n1.ru/view/114886939/?open_card_kn
70625,"улица Сиреневая, 31",Новосибирск,1250,56,Универсальное помещение,https://novosibirsk.n1.ru/view/115224079/?open_card_kn
56445,"улица Военная, 9",Новосибирск,2650,21,Универсальное помещение,https://novosibirsk.n1.ru/view/76436306/?open_card_kn
80000,"Микрорайон 3-й, 20",Новосибирск,1194,67,Универсальное помещение,https://novosibirsk.n1.ru/view/112646439/?open_card_kn
84000,"улица Дуси Ковальчук, 22",Новосибирск,1508,55,Универсальное помещение,https://novosibirsk.n1.ru/view/114886761/?open_card_kn
450000,"улица Толмачевская, 1",Новосибирск,1500,300,Универсальное помещение,https://novosibirsk.n1.ru/view/113069153/?open_card_kn
280000,"Горский микрорайон, 5",Новосибирск,1647,170,Универсальное помещение,https://novosibirsk.n1.ru/view/114886461/?open_card_kn
95000,"улица Станиславского, 20",Новосибирск,1214,78,Универсальное помещение,https://novosibirsk.n1.ru/view/114886462/?open_card_kn
82000,"Микрорайон 3-й, 2",Новосибирск,949,86,Универсальное помещение,https://novosibirsk.n1.ru/view/115585772/?open_card_kn
95000,"улица Станиславского, 20",Новосибирск,1214,78,Универсальное помещение,https://novosibirsk.n1.ru/view/112017406/?open_card_kn
21000,"улица Российская, 26",Новосибирск,300,70,Универсальное помещение,https://novosibirsk.n1.ru/view/112262239/?open_card_kn
68000,"улица Нижегородская, 280",Новосибирск,755,90,Универсальное помещение,https://novosibirsk.n1.ru/view/115222264/?open_card_kn
244750,"улица Фабричная, 10",Новосибирск,550,445,Универсальное помещение,https://novosibirsk.n1.ru/view/115222229/?open_card_kn
58000,"улица Одоевского, 1",Новосибирск,840,69,Универсальное помещение,https://novosibirsk.n1.ru/view/114885933/?open_card_kn
850000,"улица Толмачевская, 1",Новосибирск,850,1000,Универсальное помещение,https://novosibirsk.n1.ru/view/113068372/?open_card_kn
1400,"улица Станиславского, 17",Новосибирск,6,220,Универсальное помещение,https://novosibirsk.n1.ru/view/115222006/?open_card_kn
18000,"улица Вокзальная, 3а",Новосибирск,1176,15,Универсальное помещение,https://novosibirsk.n1.ru/view/115221892/?open_card_kn
75735,"улица 1-я Чулымская, 117",Новосибирск,1650,45,Универсальное помещение,https://novosibirsk.n1.ru/view/114885782/?open_card_kn
